specimen,Type,Color,Color_broad,Lat,Lon,Ms,Mr,Mr/Ms,Bc,Bcr,Bcr/Bc
CNF8-4b,4,13,13,45.6907,-105.96715,0.000,0.000,0.238,24.232,50.024,2.064
CNF8-6b,4,13,13,45.6907,-105.96715,2.434,0.195,0.080,9.656,24.235,2.510
CNF9-1b,2,6,5,45.711233,-105.973133,0.029,0.014,0.475,29.018,49.674,1.712
CNF9-2b,2,10,10,45.711233,-105.973133,0.027,0.011,0.416,30.019,63.968,2.131
CNF9-3b,2,6,5,45.711233,-105.973133,0.022,0.005,0.242,12.773,22.820,1.787
CNFP2-2b,2,11,10,45.307617,-106.224717,0.011,0.006,0.571,92.428,288.820,3.125
CNFP2-3b,2,15,15,45.307617,-106.224717,0.738,0.265,0.359,17.579,32.521,1.850
CNFP2-4b,2,15,15,45.307617,-106.224717,0.370,0.129,0.350,17.449,28.882,1.655
CNFP2-5b,2,15,15,45.307617,-106.224717,0.205,0.036,0.174,14.136,31.453,2.225
CNFP2-6b,2,1,1,45.307617,-106.224717,0.003,0.001,0.411,44.394,196.920,4.436
CNFP5-1b,3,12,10,45.554233,-105.89485,1.203,0.256,0.213,20.982,46.101,2.197
CNFP5-2b,3,10,10,45.554233,-105.89485,0.005,0.003,0.736,252.724,327.591,1.296
CNFP5-3b,3,15,15,45.554233,-105.89485,0.043,0.015,0.345,52.666,116.131,2.205
CNFP5-4b,3,5,5,45.554233,-105.89485,0.001,0.000,0.551,85.650,293.671,3.429
CNFP5-5b,2,15,15,45.554233,-105.89485,0.317,0.080,0.251,31.372,68.817,2.194
CNFP5-6b,6,9,5,45.554233,-105.89485,0.070,0.038,0.537,226.178,344.949,1.525
CNFP5-7b,6,1,1,45.554233,-105.89485,0.035,0.004,0.117,4.503,10.186,2.262
CNFP5-8b,4,13,13,45.554233,-105.89485,2.288,0.030,0.013,3.478,45.881,13.190
CNFP8-1b,2,12,10,45.711233,-105.973133,0.130,0.050,0.387,47.822,81.750,1.709
CNF1.1_Hysteresis,2,10,10,45.307617,-106.224717,0.212,0.095,0.450,47.578,182.047,3.826
CNF2.1_Hysteresis,2,10,10,45.307617,-106.224717,0.126,0.070,0.557,147.182,228.967,1.556
CNF2.2_Hysteresis,2,10,10,45.307617,-106.224717,0.067,0.028,0.416,52.915,184.147,3.480
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
